name,num
i'm,139692
it's,95214
don't,75941
lol,68335
can't,43262
blog,35125
that's,33704
you're,31208
i'll,28647
i've,25855
didn't,19858
facebook,19679
google,18782
what's,17886
we're,17635
doesn't,13681
iphone,13451
he's,13288
let's,11813
youtube,11657
i'd,10942
there's,10812
obama,10745
website,10156
isn't,9893
haven't,9854
won't,9416
they're,8769
here's,8717
we'll,8674
lmao,8054
she's,7375
lil,7083
omg,6873
today's,6792
you'll,6681
cuz,6284
kinda,5921
wasn't,5879
los,5772
who's,5688
you've,5594
kanye,5494
thx,5460
yall,5333
nyc,5328
goin,4859
hahaha,4848
couldn't,4848
aren't,4695
nfl,4571
we've,4365
wouldn't,4307
retweet,4187
seo,4003
ain't,3966
nigga,3885
microsoft,3840
pls,3817
myspace,3813
gettin,3701
luv,3689
apps,3490
itunes,3463
tix,3439
sooo,3375
mixtape,3337
xbox,3310
ipod,3267
nite,3080
bday,3062
wtf,2959
's,2933
kno,2891
you'd,2798
dvd,2771
doin,2701
chillin,2635
uk,2617
alot,2556
smh,2524
tonight's,2523
ceo,2511
how's,2493
fav,2455
wordpress,2410
shouldn't,2354
watchin,2340
webinar,2316
y'all,2312
soo,2300
plz,2290
soooo,2288
mlm,2260
it'll,2252
week's,2228
lookin,2222
fuckin,2139
imma,2135
nba,2131
ebay,2127
outta,2121
blogging,2071
ryan,2063
oprah,2056
podcast,2052
blogs,2047
obama's,2036
spam,2023
palin,2016
linkedin,1979
aww,1972
'em,1968
idk,1935
xoxo,1926
women's,1926
cnn,1921
starbucks,1858
bc,1807
world's,1802
cyber,1767
homie,1755
'the,1753
verizon,1748
nc,1746
vid,1728
wii,1726
talkin,1722
fri,1716
btw,1712
tryna,1702
espn,1702
je,1678
atl,1660
favorited,1640
hasn't,1640
dnt,1595
where's,1579
philly,1576
ufc,1573
niggas,1568
they'll,1527
miley,1524
bbq,1520
rihanna,1519
awww,1492
droid,1480
beyonce,1480
ya'll,1479
lmfao,1473
he'll,1458
mj,1451
fave,1435
hella,1432
mtv,1429
gop,1423
men's,1420
rts,1404
weren't,1400
swayze,1389
usc,1362
comin,1357
yu,1353
night's,1351
xo,1344
indie,1342
tweeps,1336
hahahaha,1330
we'd,1327
websites,1324
blogger,1318
workin,1316
thanx,1316
cbs,1312
emails,1308
feelin,1308
photoshop,1307
gucci,1304
tryin,1303
nah,1301
tweetdeck,1278
sony,1273
children's,1253
america's,1250
tomorrow's,1243
year's,1227
gmail,1227
ty,1227
voor,1222
macbook,1220
mom's,1213
pittsburgh,1204
god's,1167
britney,1155
hahah,1151
sooooo,1147
bbc,1143
nbc,1139
they've,1113
qb,1105
walmart,1100
playin,1091
ahh,1089
etsy,1085
flickr,1075
mmm,1051
one's,1043
everytime,1040
tht,1034
people's,1032
mic,1031
hmmm,1029
und,1027
makin,1021
hmm,1014
barack,1013
rockin,1008
bloggers,1001
skype,999
firefox,998
wifi,988
freakin,980
ahhh,959
everyone's,954
jk,951
texting,943
url,928
ashley,928
ebook,922
como,917
lemme,906
phillies,906
thurs,900
frm,892
nothin,887
sayin,879
nyt,876
mayweather,871
penn,866
nokia,857
api,855
thinkin,854
google's,852
cali,839
jackson's,833
nascar,829
dems,817
fyi,815
niet,813
brady,812
man's,812
c'mon,805
djs,802
hilton,799
twitter's,795
woot,795
megan,793
prolly,792
fundraiser,791
fml,788
wassup,772
nintendo,772
netflix,767
lovin,761
hadn't,760
lebron,760
rss,760
mma,757
chelsea,754
twitpic,751
comcast,744
dubai,741
snl,737
tweetup,731
reuters,729
usb,726
é,723
favre,715
rohn,715
someone's,714
havin,714
shoutout,712
lopez,701
ohh,701
they'd,699
somethin,697
thnx,695
kobe,694
tues,682
motorola,682
yesterday's,676
hashtag,676
wsj,674
digg,673
dvr,673
ustream,670
nicole,668
would've,668
ncaa,667
nissan,665
she'll,663
he'd,661
life's,661
nw,654
webcast,653
esta,652
für,650
fda,648
bmw,647
aol,642
barnes,642
mega,641
gunna,640
iz,639
pero,638
paypal,636
unfollow,633
meetup,631
wht,630
killin,628
rt's,627
zune,624
it'd,623
samsung,610
ohhh,609
dats,609
diy,609
ook,607
sittin,604
ziglar,601
friend's,598
playlist,597
mariah,597
dobbs,597
'i,596
mornin,595
lsu,593
shoulda,592
ucla,592
'cause,592
should've,590
rockin',589
playstation,585
mcdonalds,585
npr,583
acai,582
mls,582
naar,573
gov't,569
aight,568
linux,564
pacquiao,564
retweeting,564
waldo,563
mlb,562
vw,562
whos,559
convo,559
finna,559
ou,555
signup,552
ppc,551
gb,548
tgif,547
skool,543
knicks,543
lauren,542
dms,542
rb,540
vids,540
apple's,539
dad's,539
craigslist,539
ummm,538
hangin,534
conan,533
goodmorning,532
awwww,529
cpa,529
latte,523
tweetie,522
sustainability,521
retweets,520
photoshoot,519
that'll,518
ths,517
ol',515
aan,514
waitin,513
smartphone,513
clickbank,512
css,511
'til,510
não,509
cds,509
inbox,509
eminem,506
soooooo,505
dvds,504
bij,501
bff,500
pattinson,496
lego,491
adwords,490
friday's,490
vmas,490
lil',489
html,488
xp,487
tebow,486
homepage,485
wel,484
listenin,482
marcus,482
celtics,478
nano,478
pdf,478
neva,478
mashable,478
ali,476
forbes,475
muy,471
boyz,471
nhl,470
thu,470
pra,470
knw,469
cotto,468
ecommerce,467
dna,465
hannah,465
gf,465
shyt,464
ftc,464
pitt,464
cameron,463
cudi,463
bieber,462
joe's,462
nxt,461
osu,460
bloomberg,460
sms,460
kardashian,459
grey's,459
stickam,458
improv,457
woulda,457
cavs,457
mms,456
hahahahaha,456
wknd,454
wikipedia,454
ftw,454
oooh,454
netbook,452
goldman,452
ahhhh,450
pelosi,450
plugin,449
veteran's,449
'bout,447
sunday's,447
veggie,447
heb,447
perez,446
gators,446
how'd,445
i'ma,445
niggaz,442
php,442
mais,439
mother's,437
squidoo,437
feb,437
urself,436
winfrey,436
timeline,435
rehab,435
phillips,435
dj's,433
eatin,433
snuggie,432
hittin,432
sanchez,431
bryant,431
odst,431
bruh,430
fran,430
hiv,430
tmrw,429
